Sentence,Entities
David is an Canadian citizen working in Paris.,"[(0, 5, 'PER'), (40, 45, 'LOC'), (12, 20, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Emma wrote about The Last Supper in French.,"[(0, 4, 'PER'), (17, 32, 'WORK_OF_ART'), (36, 42, 'LANGUAGE'), (36, 42, 'NATIONALITY')]"
Sarah is an French citizen working in Paris.,"[(0, 5, 'PER'), (38, 43, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
NASA follows the Copyright Law strictly.,"[(0, 4, 'ORG'), (17, 30, 'LAW')]"
Robert donated $100 to NASA.,"[(0, 6, 'PER'), (23, 27, 'ORG'), (15, 19, 'MONEY')]"
Alice is an American citizen working in Paris.,"[(0, 5, 'PER'), (40, 45, 'LOC'), (12, 20, 'NATIONALITY')]"
The Sydney Opera House is a famous monument in Paris.,"[(47, 52, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Michael is an Canadian citizen working in Rome.,"[(0, 7, 'PER'), (42, 46, 'LOC'), (14, 22, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
UN announced a new iPhone on January 1st.,"[(0, 2, 'ORG'), (29, 40, 'DATE'), (19, 25, 'PRODUCT')]"
"Microsoft raised ₹50,000 in Monday.","[(0, 9, 'ORG'), (28, 34, 'DATE'), (17, 24, 'MONEY')]"
Michael donated $5 million to Microsoft.,"[(0, 7, 'PER'), (30, 39, 'ORG'), (16, 26, 'MONEY')]"
The Burj Khalifa is a famous monument in Toronto.,"[(41, 48, 'LOC'), (4, 16, 'FACILITY')]"
Netflix announced a new Pixel 8 on April.,"[(0, 7, 'ORG'), (35, 40, 'DATE'), (24, 31, 'PRODUCT')]"
"Alice donated ₹50,000 to Apple.","[(0, 5, 'PER'), (25, 30, 'ORG'), (14, 21, 'MONEY')]"
Robert wrote about Mona Lisa in English.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 39, 'LANGUAGE')]"
Michael visited Cairo during the World Cup.,"[(0, 7, 'PER'), (16, 21, 'LOC'), (33, 42, 'EVENT')]"
Mona Lisa is displayed at a museum in Cairo.,"[(38, 43, 'LOC'), (0, 9, 'WORK_OF_ART')]"
John is an Canadian citizen working in Sydney.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
NASA raised $100 in Monday.,"[(0, 4, 'ORG'), (20, 26, 'DATE'), (12, 16, 'MONEY')]"
Michael is an French citizen working in Rome.,"[(0, 7, 'PER'), (40, 44, 'LOC'), (14, 20, 'LANGUAGE'), (14, 20, 'NATIONALITY')]"
Sarah wrote about The Last Supper in Mandarin.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 45, 'LANGUAGE')]"
"Netflix raised ₹50,000 in April.","[(0, 7, 'ORG'), (26, 31, 'DATE'), (15, 22, 'MONEY')]"
"Michael donated ₹50,000 to Apple.","[(0, 7, 'PER'), (27, 32, 'ORG'), (16, 23, 'MONEY')]"
Sophia wrote about Guernica in Spanish.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 38, 'LANGUAGE')]"
NASA follows the GDPR strictly.,"[(0, 4, 'ORG'), (17, 21, 'LAW')]"
Liam visited Cairo during the World Cup.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
The Sydney Opera House is a famous monument in Sydney.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
Sarah visited London during the World Cup.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Sophia visited Toronto during the Super Bowl.,"[(0, 6, 'PER'), (15, 22, 'LOC'), (34, 44, 'EVENT')]"
Emma visited Rome during the Olympics.,"[(0, 4, 'PER'), (13, 17, 'LOC'), (29, 37, 'EVENT')]"
Netflix raised €200 in 2023.,"[(0, 7, 'ORG'), (23, 27, 'DATE'), (15, 19, 'MONEY')]"
Netflix follows the Patent Act strictly.,"[(0, 7, 'ORG'), (20, 30, 'LAW')]"
John visited Berlin during the World Cup.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 40, 'EVENT')]"
The Eiffel Tower is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
John visited Toronto during the Super Bowl.,"[(0, 4, 'PER'), (13, 20, 'LOC'), (32, 42, 'EVENT')]"
Netflix follows the GDPR strictly.,"[(0, 7, 'ORG'), (20, 24, 'LAW')]"
UN follows the GDPR strictly.,"[(0, 2, 'ORG'), (15, 19, 'LAW')]"
Liam wrote about Mona Lisa in French.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Netflix follows the Copyright Law strictly.,"[(0, 7, 'ORG'), (20, 33, 'LAW')]"
Sarah visited Paris during the Olympics.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 39, 'EVENT')]"
UNICEF announced a new Galaxy S22 on January 1st.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (37, 48, 'DATE'), (23, 33, 'PRODUCT')]"
Olivia visited Berlin during the Coachella.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 42, 'EVENT')]"
Mona Lisa is displayed at a museum in Tokyo.,"[(38, 43, 'LOC'), (0, 9, 'WORK_OF_ART')]"
WHO announced a new iPhone on December 2024.,"[(0, 3, 'ORG'), (30, 43, 'DATE'), (20, 26, 'PRODUCT')]"
Sophia wrote about The Last Supper in Mandarin.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 46, 'LANGUAGE')]"
iPhone was launched by NASA at the Comic-Con.,"[(23, 27, 'ORG'), (0, 6, 'PRODUCT'), (35, 44, 'EVENT')]"
Apple follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Guernica is displayed at a museum in Paris.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
NASA follows the GDPR strictly.,"[(0, 4, 'ORG'), (17, 21, 'LAW')]"
Michael visited Sydney during the Comic-Con.,"[(0, 7, 'PER'), (16, 22, 'LOC'), (34, 43, 'EVENT')]"
Michael is an Japanese citizen working in Mumbai.,"[(0, 7, 'PER'), (42, 48, 'LOC'), (14, 22, 'NATIONALITY')]"
Robert is an Indian citizen working in Sydney.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'NATIONALITY')]"
Pixel 8 was launched by WHO at the Olympics.,"[(24, 27, 'ORG'), (0, 7, 'PRODUCT'), (35, 43, 'EVENT')]"
Michael is an Indian citizen working in Cairo.,"[(0, 7, 'PER'), (40, 45, 'LOC'), (14, 20, 'NATIONALITY')]"
Sophia visited Cairo during the World Cup.,"[(0, 6, 'PER'), (15, 20, 'LOC'), (32, 41, 'EVENT')]"
Sarah wrote about Mona Lisa in French.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 37, 'LANGUAGE'), (31, 37, 'NATIONALITY')]"
Liam is an American citizen working in Cairo.,"[(0, 4, 'PER'), (39, 44, 'LOC'), (11, 19, 'NATIONALITY')]"
Alice donated $5 million to NASA.,"[(0, 5, 'PER'), (28, 32, 'ORG'), (14, 24, 'MONEY')]"
Alice is an Japanese citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
Mona Lisa is displayed at a museum in Rome.,"[(38, 42, 'LOC'), (0, 9, 'WORK_OF_ART')]"
PlayStation was launched by Amazon at the Super Bowl.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 52, 'EVENT')]"
Alice is an Japanese citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
Surface Pro was launched by Apple at the Olympics.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 49, 'EVENT')]"
Liam visited Rome during the World Cup.,"[(0, 4, 'PER'), (13, 17, 'LOC'), (29, 38, 'EVENT')]"
The Eiffel Tower is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Olivia wrote about Mona Lisa in Mandarin.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 40, 'LANGUAGE')]"
Sarah donated $5 million to UNICEF.,"[(0, 5, 'PER'), (28, 34, 'ORG'), (28, 30, 'ORG'), (14, 24, 'MONEY')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Sophia visited Rome during the Super Bowl.,"[(0, 6, 'PER'), (15, 19, 'LOC'), (31, 41, 'EVENT')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
"Robert donated ₹50,000 to Microsoft.","[(0, 6, 'PER'), (26, 35, 'ORG'), (15, 22, 'MONEY')]"
The Burj Khalifa is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Robert donated €1 billion to UN.,"[(0, 6, 'PER'), (29, 31, 'ORG'), (15, 25, 'MONEY')]"
Emma visited Cairo during the Olympics.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 38, 'EVENT')]"
UN follows the HIPAA strictly.,"[(0, 2, 'ORG'), (15, 20, 'LAW')]"
John is an American citizen working in Sydney.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Robert donated €1 billion to Microsoft.,"[(0, 6, 'PER'), (29, 38, 'ORG'), (15, 25, 'MONEY')]"
Galaxy S22 was launched by Apple at the Coachella.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 49, 'EVENT')]"
Google announced a new Surface Pro on April.,"[(0, 6, 'ORG'), (38, 43, 'DATE'), (23, 34, 'PRODUCT')]"
UN announced a new Galaxy S22 on Monday.,"[(0, 2, 'ORG'), (33, 39, 'DATE'), (19, 29, 'PRODUCT')]"
Amazon announced a new MacBook Pro on August 15.,"[(0, 6, 'ORG'), (38, 47, 'DATE'), (23, 34, 'PRODUCT')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
Surface Pro was launched by Microsoft at the Comic-Con.,"[(28, 37, 'ORG'), (0, 11, 'PRODUCT'), (45, 54, 'EVENT')]"
John is an Japanese citizen working in Mumbai.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
David wrote about Mona Lisa in Hindi.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 36, 'LANGUAGE')]"
UN raised €1 billion in January 1st.,"[(0, 2, 'ORG'), (24, 35, 'DATE'), (10, 20, 'MONEY')]"
The Burj Khalifa is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
The Burj Khalifa is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Google follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
UNICEF raised €200 in April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (22, 27, 'DATE'), (14, 18, 'MONEY')]"
John visited Tokyo during the World Cup.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
John wrote about Guernica in English.,"[(0, 4, 'PER'), (17, 25, 'WORK_OF_ART'), (29, 36, 'LANGUAGE')]"
Microsoft raised €1 billion in 2023.,"[(0, 9, 'ORG'), (31, 35, 'DATE'), (17, 27, 'MONEY')]"
Sophia donated $100 to WHO.,"[(0, 6, 'PER'), (23, 26, 'ORG'), (15, 19, 'MONEY')]"
Amazon announced a new Pixel 8 on April.,"[(0, 6, 'ORG'), (34, 39, 'DATE'), (23, 30, 'PRODUCT')]"
Google raised €1 billion in January 1st.,"[(0, 6, 'ORG'), (28, 39, 'DATE'), (14, 24, 'MONEY')]"
MacBook Pro was launched by Netflix at the World Cup.,"[(28, 35, 'ORG'), (0, 11, 'PRODUCT'), (43, 52, 'EVENT')]"
WHO follows the Patent Act strictly.,"[(0, 3, 'ORG'), (16, 26, 'LAW')]"
Olivia is an Canadian citizen working in Cairo.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
Liam is an French citizen working in Berlin.,"[(0, 4, 'PER'), (37, 43, 'LOC'), (11, 17, 'LANGUAGE'), (11, 17, 'NATIONALITY')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Robert wrote about Mona Lisa in French.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 38, 'LANGUAGE'), (32, 38, 'NATIONALITY')]"
MacBook Pro was launched by UNICEF at the Comic-Con.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
"Amazon raised ₹50,000 in June 5.","[(0, 6, 'ORG'), (25, 31, 'DATE'), (14, 21, 'MONEY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
"Tesla raised ₹50,000 in December 2024.","[(0, 5, 'ORG'), (24, 37, 'DATE'), (13, 20, 'MONEY')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Mona Lisa is displayed at a museum in Rome.,"[(38, 42, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Netflix follows the Patent Act strictly.,"[(0, 7, 'ORG'), (20, 30, 'LAW')]"
Olivia is an American citizen working in Sydney.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
David is an French citizen working in Paris.,"[(0, 5, 'PER'), (38, 43, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
The Burj Khalifa is a famous monument in Sydney.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Google announced a new Surface Pro on Monday.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
The Empire State Building is a famous monument in Toronto.,"[(50, 57, 'LOC'), (4, 25, 'FACILITY')]"
Surface Pro was launched by Google at the Super Bowl.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 52, 'EVENT')]"
UNICEF follows the GDPR strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 23, 'LAW')]"
Tesla raised €1 billion in December 2024.,"[(0, 5, 'ORG'), (27, 40, 'DATE'), (13, 23, 'MONEY')]"
Pixel 8 was launched by NASA at the Comic-Con.,"[(24, 28, 'ORG'), (0, 7, 'PRODUCT'), (36, 45, 'EVENT')]"
The Eiffel Tower is a famous monument in New York.,"[(41, 49, 'LOC'), (4, 16, 'FACILITY')]"
Amazon follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
"Microsoft raised ₹50,000 in April.","[(0, 9, 'ORG'), (28, 33, 'DATE'), (17, 24, 'MONEY')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Emma visited Tokyo during the Comic-Con.,"[(0, 4, 'PER'), (13, 18, 'LOC'), (30, 39, 'EVENT')]"
The Burj Khalifa is a famous monument in New York.,"[(41, 49, 'LOC'), (4, 16, 'FACILITY')]"
Sophia wrote about Starry Night in French.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 41, 'LANGUAGE'), (35, 41, 'NATIONALITY')]"
The Empire State Building is a famous monument in New York.,"[(50, 58, 'LOC'), (4, 25, 'FACILITY')]"
Emma is an French citizen working in New York.,"[(0, 4, 'PER'), (37, 45, 'LOC'), (11, 17, 'LANGUAGE'), (11, 17, 'NATIONALITY')]"
Amazon follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
The Empire State Building is a famous monument in Sydney.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Amazon announced a new MacBook Pro on 2023.,"[(0, 6, 'ORG'), (38, 42, 'DATE'), (23, 34, 'PRODUCT')]"
John is an American citizen working in Berlin.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Tesla raised $100 in 2023.,"[(0, 5, 'ORG'), (21, 25, 'DATE'), (13, 17, 'MONEY')]"
PlayStation was launched by WHO at the World Cup.,"[(28, 31, 'ORG'), (0, 11, 'PRODUCT'), (39, 48, 'EVENT')]"
John donated €1 billion to UNICEF.,"[(0, 4, 'PER'), (27, 33, 'ORG'), (27, 29, 'ORG'), (13, 23, 'MONEY')]"
Sophia donated $5 million to NASA.,"[(0, 6, 'PER'), (29, 33, 'ORG'), (15, 25, 'MONEY')]"
Olivia is an Indian citizen working in Cairo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'NATIONALITY')]"
Kindle was launched by Tesla at the Comic-Con.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 45, 'EVENT')]"
The Burj Khalifa is a famous monument in Toronto.,"[(41, 48, 'LOC'), (4, 16, 'FACILITY')]"
Olivia is an Indian citizen working in London.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'NATIONALITY')]"
Emma is an Indian citizen working in Mumbai.,"[(0, 4, 'PER'), (37, 43, 'LOC'), (11, 17, 'NATIONALITY')]"
iPhone was launched by WHO at the Olympics.,"[(23, 26, 'ORG'), (0, 6, 'PRODUCT'), (34, 42, 'EVENT')]"
Apple follows the Copyright Law strictly.,"[(0, 5, 'ORG'), (18, 31, 'LAW')]"
Alice visited Cairo during the Coachella.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
UN raised €200 in Monday.,"[(0, 2, 'ORG'), (18, 24, 'DATE'), (10, 14, 'MONEY')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
John is an Japanese citizen working in Tokyo.,"[(0, 4, 'PER'), (39, 44, 'LOC'), (11, 19, 'NATIONALITY')]"
Liam wrote about Starry Night in English.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 40, 'LANGUAGE')]"
Sophia wrote about Guernica in French.,"[(0, 6, 'PER'), (19, 27, 'WORK_OF_ART'), (31, 37, 'LANGUAGE'), (31, 37, 'NATIONALITY')]"
John donated $5 million to NASA.,"[(0, 4, 'PER'), (27, 31, 'ORG'), (13, 23, 'MONEY')]"
The Burj Khalifa is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
Robert is an French citizen working in Tokyo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
Emma donated $100 to UNICEF.,"[(0, 4, 'PER'), (21, 27, 'ORG'), (21, 23, 'ORG'), (13, 17, 'MONEY')]"
Emma is an Canadian citizen working in New York.,"[(0, 4, 'PER'), (39, 47, 'LOC'), (11, 19, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Microsoft follows the HIPAA strictly.,"[(0, 9, 'ORG'), (22, 27, 'LAW')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Pixel 8 was launched by Apple at the Comic-Con.,"[(24, 29, 'ORG'), (0, 7, 'PRODUCT'), (37, 46, 'EVENT')]"
The Sydney Opera House is a famous monument in Berlin.,"[(47, 53, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
PlayStation was launched by WHO at the Olympics.,"[(28, 31, 'ORG'), (0, 11, 'PRODUCT'), (39, 47, 'EVENT')]"
Alice visited Sydney during the Coachella.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
NASA announced a new iPhone on December 2024.,"[(0, 4, 'ORG'), (31, 44, 'DATE'), (21, 27, 'PRODUCT')]"
David visited Toronto during the World Cup.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 42, 'EVENT')]"
John visited New York during the Coachella.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 42, 'EVENT')]"
David visited Berlin during the Comic-Con.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Sarah visited Mumbai during the World Cup.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
David visited Berlin during the Super Bowl.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 42, 'EVENT')]"
"Sophia donated ₹50,000 to Microsoft.","[(0, 6, 'PER'), (26, 35, 'ORG'), (15, 22, 'MONEY')]"
WHO announced a new Kindle on December 2024.,"[(0, 3, 'ORG'), (30, 43, 'DATE'), (20, 26, 'PRODUCT')]"
Michael is an Indian citizen working in Mumbai.,"[(0, 7, 'PER'), (40, 46, 'LOC'), (14, 20, 'NATIONALITY')]"
Tesla follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Liam wrote about Starry Night in Spanish.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 40, 'LANGUAGE')]"
Apple announced a new Kindle on January 1st.,"[(0, 5, 'ORG'), (32, 43, 'DATE'), (22, 28, 'PRODUCT')]"
Apple raised $100 in December 2024.,"[(0, 5, 'ORG'), (21, 34, 'DATE'), (13, 17, 'MONEY')]"
Surface Pro was launched by UNICEF at the Coachella.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Michael visited Paris during the Super Bowl.,"[(0, 7, 'PER'), (16, 21, 'LOC'), (33, 43, 'EVENT')]"
Mona Lisa is displayed at a museum in Rome.,"[(38, 42, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in Paris.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
UN announced a new PlayStation on 2023.,"[(0, 2, 'ORG'), (34, 38, 'DATE'), (19, 30, 'PRODUCT')]"
Michael donated $100 to Apple.,"[(0, 7, 'PER'), (24, 29, 'ORG'), (16, 20, 'MONEY')]"
Alice visited Toronto during the Coachella.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 42, 'EVENT')]"
WHO announced a new Galaxy S22 on April.,"[(0, 3, 'ORG'), (34, 39, 'DATE'), (20, 30, 'PRODUCT')]"
Olivia is an French citizen working in Mumbai.,"[(0, 6, 'PER'), (39, 45, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
PlayStation was launched by Amazon at the World Cup.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Emma is an American citizen working in London.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
Tesla follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
The Burj Khalifa is a famous monument in Tokyo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
Emma wrote about Starry Night in English.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 40, 'LANGUAGE')]"
Liam is an American citizen working in New York.,"[(0, 4, 'PER'), (39, 47, 'LOC'), (11, 19, 'NATIONALITY')]"
The Sydney Opera House is a famous monument in Rome.,"[(4, 10, 'LOC'), (47, 51, 'LOC'), (4, 22, 'FACILITY')]"
Google announced a new Galaxy S22 on January 1st.,"[(0, 6, 'ORG'), (37, 48, 'DATE'), (23, 33, 'PRODUCT')]"
Google raised $100 in Monday.,"[(0, 6, 'ORG'), (22, 28, 'DATE'), (14, 18, 'MONEY')]"
Google follows the Patent Act strictly.,"[(0, 6, 'ORG'), (19, 29, 'LAW')]"
David is an American citizen working in Paris.,"[(0, 5, 'PER'), (40, 45, 'LOC'), (12, 20, 'NATIONALITY')]"
Alice is an Japanese citizen working in Sydney.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
"Liam donated ₹50,000 to Google.","[(0, 4, 'PER'), (24, 30, 'ORG'), (13, 20, 'MONEY')]"
Tesla announced a new Pixel 8 on June 5.,"[(0, 5, 'ORG'), (33, 39, 'DATE'), (22, 29, 'PRODUCT')]"
Kindle was launched by Tesla at the Coachella.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 45, 'EVENT')]"
UNICEF announced a new Pixel 8 on April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (34, 39, 'DATE'), (23, 30, 'PRODUCT')]"
Google raised €200 in December 2024.,"[(0, 6, 'ORG'), (22, 35, 'DATE'), (14, 18, 'MONEY')]"
Galaxy S22 was launched by Apple at the Super Bowl.,"[(27, 32, 'ORG'), (0, 10, 'PRODUCT'), (40, 50, 'EVENT')]"
The Sydney Opera House is a famous monument in Rome.,"[(4, 10, 'LOC'), (47, 51, 'LOC'), (4, 22, 'FACILITY')]"
WHO raised €200 in August 15.,"[(0, 3, 'ORG'), (19, 28, 'DATE'), (11, 15, 'MONEY')]"
John donated €1 billion to UNICEF.,"[(0, 4, 'PER'), (27, 33, 'ORG'), (27, 29, 'ORG'), (13, 23, 'MONEY')]"
Sophia is an French citizen working in Tokyo.,"[(0, 6, 'PER'), (39, 44, 'LOC'), (13, 19, 'LANGUAGE'), (13, 19, 'NATIONALITY')]"
Tesla announced a new Surface Pro on August 15.,"[(0, 5, 'ORG'), (37, 46, 'DATE'), (22, 33, 'PRODUCT')]"
Robert is an Canadian citizen working in Berlin.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
The Last Supper is displayed at a museum in New York.,"[(44, 52, 'LOC'), (0, 15, 'WORK_OF_ART')]"
The Last Supper is displayed at a museum in Cairo.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Google follows the GDPR strictly.,"[(0, 6, 'ORG'), (19, 23, 'LAW')]"
Michael is an Japanese citizen working in Toronto.,"[(0, 7, 'PER'), (42, 49, 'LOC'), (14, 22, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Rome.,"[(41, 45, 'LOC'), (4, 16, 'FACILITY')]"
Michael visited Rome during the World Cup.,"[(0, 7, 'PER'), (16, 20, 'LOC'), (32, 41, 'EVENT')]"
The Burj Khalifa is a famous monument in Paris.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
MacBook Pro was launched by Tesla at the Olympics.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 49, 'EVENT')]"
WHO follows the GDPR strictly.,"[(0, 3, 'ORG'), (16, 20, 'LAW')]"
David donated €200 to Apple.,"[(0, 5, 'PER'), (22, 27, 'ORG'), (14, 18, 'MONEY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Alice wrote about The Last Supper in Mandarin.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 45, 'LANGUAGE')]"
The Last Supper is displayed at a museum in Sydney.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
"Amazon raised ₹50,000 in April.","[(0, 6, 'ORG'), (25, 30, 'DATE'), (14, 21, 'MONEY')]"
